Title,Clients last day,Rating,Voters,Price,Kitchen,Location,Boroughs
Foley's NY,NA,4.3,3,2,American,Flower District,Manhattan
Maru Karaoke Lounge,NA,3.9,13,2,Korean,Midtown West,Manhattan
Wonjo,NA,NA,NA,3,Kosher,Flower District,Manhattan
Kun Jip,NA,NA,NA,2,Kosher,Flower District,Manhattan
Hanok Restaurant,NA,NA,NA,2,American,Midtown West,Manhattan
Pocha 32,NA,NA,NA,3,Korean,Flower District,Manhattan
Heartland Brewery - Empire State Building,NA,3.9,151,2,American,Midtown East,Manhattan
Chorus NYC,NA,NA,NA,4,American,Flower District,Manhattan
Mk,NA,NA,NA,2,American,Midtown West,Manhattan
Anytime,NA,NA,NA,2,Korean,NoMad,Manhattan
