Title,Rating TripAvisdor,Voters TripAvisdor
 Harry's,4.5,361
 Toloache,4.5,2100
 Oceana Restaurant,4.5,1165
ICHIRAN Times Square,4.5,59
 Guantanamera,4.5,649
 Pret A Manger,4.5,453
 limani,4.5,406
 Paul's Da Burger Joint,4.5,267
 Foxy John's Bar & Kitchen,4.5,222
Quality Italian,4.0,833
 Mari Vanna,4.5,346
 Felice 15 Gold,4.5,281
 Comfort Diner,4.0,998
 Natsumi,4.5,878
 Trinity Place,4.5,371
Famous Amadeus Pizza,4.0,44
 Blue Smoke Battery Park City,4.5,575
 ABC Cocina,4.5,701
 Sushi Yasaka,4.5,277
 Bar SixtyFive,4.5,985
 Atoboy,4.5,100
LandShark Bar & Grill - Times Square,5.0,4
 Strip House,4.0,600
 2 Bros Pizza,4.5,240
 BXL Cafe,4.5,450
 Pret A Manger,4.5,840
 Gaonnuri,4.5,590
Margaritaville Restaurant- Times Square,3.5,12
 Don Antonio,4.5,2179
 Nobu Downtown,4.5,1539
 P.J. Clarke's,4.0,1674
 Marta,4.0,822
 Tacombi - Nolita,4.5,565
Quality Bistro,4.5,30
5 o'Clock Somewhere Bar,4.0,4
 Nirvana,4.0,352
 Manhattan Diner,4.0,542
 Ipanema Restaurant,4.5,682
 ViceVersa,4.0,457
 Katz's Deli,4.0,17487
LandShark Bar & Grill - Times Square,5.0,4
 Cafe Luxembourg,4.0,607
 Il Mulino New York,4.5,523
 Spyglass,4.5,345
 Le Rivage,4.5,849
 FIG & OLIVE,4.0,1409
Piccola Cucina Osteria,4.5,2579
 Bus Stop,4.5,238
 Pio Pio 8,4.5,572
 The Counter,4.5,1641
 Mustang Harry's,4.0,426
 Ai Fiori,4.5,1036
Quality Italian,4.0,833
 The Mermaid Inn,4.5,357
 Don Giovanni,4.0,742
 Trattoria Dell'Arte,4.0,1899
 Lincoln Ristorante,4.5,590
 Pepe Giallo,4.5,256
Quality Bistro,4.5,30
 Coppola's Pizzeria Restaurant,4.5,441
 Black Tap,4.0,717
 Knickerbocker Bar & Grill,4.0,462
 Cock & Bull,4.5,440
 Buvette Gastrotheque,4.5,949
ICHIRAN Times Square,4.5,59
 Bocca di Bacco,4.0,584
 Molyvos,4.5,1087
 Estela,4.5,386
 Tavola,4.0,920
 Bathtub Gin,4.5,393
Margaritaville Restaurant- Times Square,3.5,12
LandShark Bar & Grill - Times Square,5.0,4
 Felidia,4.5,823
 Prune,4.5,459
 Glass House Tavern,4.0,828
 Porter House,4.0,1041
 230 Fifth,4.0,3972
ICHIRAN Times Square,4.5,59
 Fogo de Chao Brazilian Steakhouse,4.5,1109
 Champion Pizza,4.5,114
 Luigi's Gourmet Pizza,4.5,241
 Arturo's,4.5,350
